Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,64,2069,1788,1449,64,277,2,4,21,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app,64,2069,1788,1449,64,277,2,4,21,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend,4,169,150,54,1,18,1,1,14,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\backend\src,1,11,8,4,1,2,0,1,13,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components,31,952,785,725,2,166,0,1,1,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain,16,522,433,401,2,88,0,1,1,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\comment,2,69,58,59,0,11,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\comments-list,2,49,41,40,0,8,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\project,2,82,68,60,0,14,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\projectlist,2,62,52,50,0,10,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\single-project-view,2,76,64,63,0,11,0,1,1,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\task,2,61,52,45,2,9,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\tasklist,2,81,67,58,0,14,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\domain\user,2,42,31,26,0,11,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction,9,297,249,233,0,48,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\message,2,57,44,35,0,13,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals,7,240,205,198,0,35,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\edit-project-modal,2,84,72,66,0,12,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\new-project-modal,2,66,55,55,0,11,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interaction\modals\new-task-modal,2,79,69,66,0,10,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interactions,2,50,41,39,0,9,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interactions\forms,2,50,41,39,0,9,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\interactions\forms\comment-form,2,50,41,39,0,9,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\layout,4,83,62,52,0,21,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\layout\footer,2,41,31,26,0,10,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\components\layout\header,2,42,31,26,0,11,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\enums,2,11,9,2,0,2,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\models,4,87,78,77,1,9,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\modules,3,82,74,72,0,8,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\routing,1,24,21,11,0,3,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\services,4,245,224,174,4,20,0,1,4,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store,12,380,337,238,56,42,0,1,1,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\actions,5,192,169,121,13,23,0,0,0,0,0
C:\Users\lenovo\Documents\webdev\angular-pm\src\app\store\reducers,5,156,142,90,43,13,0,1,1,0,0
